epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4160.6,1.95034,1.16512,0.00277,0.72465,0.67741,0.73477,0.39801,1.70064,1.07296,0.0028,0.00102292,0.00102292,0.00102292
43,4240.54,1.98276,1.12416,0.0025,0.68522,0.7337,0.74928,0.40579,1.67882,1.05695,0.00281,0.00102077,0.00102077,0.00102077
44,4327.96,1.91454,1.10221,0.00253,0.70404,0.68919,0.73784,0.40655,1.64856,1.08308,0.00282,0.00101863,0.00101863,0.00101863
45,4418.69,1.92561,1.11324,0.00255,0.71393,0.68473,0.73827,0.40006,1.66622,1.07274,0.00277,0.00101648,0.00101648,0.00101648
46,4505.65,1.88746,1.07468,0.00257,0.74296,0.66788,0.74401,0.3915,1.72046,1.04108,0.00288,0.00101433,0.00101433,0.00101433
47,4582.78,1.88383,1.08258,0.00257,0.68927,0.74447,0.76485,0.41044,1.69992,1.0442,0.00286,0.00101218,0.00101218,0.00101218
48,4665.42,1.98361,1.09649,0.0026,0.72391,0.72315,0.76713,0.40772,1.68298,1.03121,0.0029,0.00101003,0.00101003,0.00101003
49,4746.32,1.87014,1.07924,0.00266,0.72753,0.73738,0.77431,0.42033,1.6768,1.01002,0.00275,0.00100789,0.00100789,0.00100789
50,4837.52,1.91706,1.07517,0.00251,0.7766,0.70427,0.77984,0.4323,1.65379,0.98922,0.00277,0.00100574,0.00100574,0.00100574
51,4933.95,1.93044,1.03699,0.00247,0.77956,0.71007,0.7762,0.4056,1.67532,0.99747,0.00298,0.00100359,0.00100359,0.00100359
52,5022.98,1.87144,1.06399,0.00252,0.78103,0.73363,0.79128,0.41653,1.65431,0.96949,0.00286,0.00100144,0.00100144,0.00100144
53,5110.25,1.90033,1.04272,0.00256,0.80242,0.73737,0.80608,0.41387,1.6931,0.97815,0.00298,0.000999292,0.000999292,0.000999292
54,5218.57,1.83395,1.01215,0.00243,0.79299,0.74077,0.80369,0.44616,1.64933,0.97082,0.00276,0.000997144,0.000997144,0.000997144
55,5323.09,1.91567,1.04683,0.00247,0.78456,0.74803,0.81557,0.42739,1.70708,0.95707,0.0029,0.000994996,0.000994996,0.000994996
56,5423.66,1.85864,1.0234,0.00254,0.78189,0.73203,0.80447,0.42638,1.67014,0.94564,0.00294,0.000992848,0.000992848,0.000992848
57,5535.24,1.93944,1.02462,0.00253,0.74919,0.75599,0.80337,0.42461,1.63918,0.9654,0.00282,0.0009907,0.0009907,0.0009907
58,5632.37,1.94606,1.02877,0.00256,0.73464,0.7362,0.77797,0.42039,1.65091,0.97912,0.0029,0.000988551,0.000988551,0.000988551
